timestamp,volume(USD),close index
1583418600,3763860000,8738.589844
1583505000,4292730000,8575.620117
1583760600,4554110000,7950.680176
1583847000,4447260000,8344.25
1583933400,4302610000,7952.049805
1584019800,5099350000,7201.799805
1584106200,4701070000,7874.879883
1584365400,4618120000,6904.589844
1584451800,4920210000,7334.779785
1584538200,4935000000,6989.839844
1584624600,4778490000,7150.580078
1584711000,5260300000,6879.52002
1584970200,4348410000,6860.669922
1585056600,4441080000,7417.859863
1585143000,4683630000,7384.299805
1585229400,4014670000,7797.540039
1585315800,3989120000,7502.379883
1585575000,3870770000,7774.149902
1585661400,4078960000,7700.100098
1585747800,3700040000,7360.580078
1585834200,3622170000,7487.310059
1585920600,3294260000,7373.080078
1586179800,3849130000,7913.240234
1586266200,4085960000,7887.259766
1586352600,3487440000,8090.899902
1586439000,4145460000,8153.580078
1586784600,3184660000,8192.419922
1586871000,3767410000,8515.740234
1586957400,3347920000,8393.179688
1587043800,4057800000,8532.360352
1587130200,4348310000,8650.139648
1587389400,3827370000,8560.730469
1587475800,3788180000,8263.230469
1587562200,3041520000,8495.379883
1587648600,3759890000,8494.75
1587735000,3696020000,8634.519531
1587994200,3694980000,8730.160156
1588080600,3730350000,8607.730469
1588167000,4407140000,8914.709961
1588253400,4335660000,8889.549805
1588339800,3741300000,8604.950195
1588599000,3443140000,8710.709961
1588685400,3933550000,8809.120117
1588771800,3656750000,8854.389648
1588858200,3787220000,8979.660156
1588944600,3813630000,9121.320313
1589203800,3925450000,9192.339844
1589290200,4336510000,9002.549805
1589376600,4273210000,8863.169922
1589463000,3965970000,8943.719727
1589549400,4240690000,9014.55957
1589808600,4341820000,9234.830078
1589895000,4193550000,9185.099609
1589981400,4315500000,9375.780273
1590067800,3745270000,9284.879883
1590154200,3668070000,9324.589844
1590499800,4448950000,9340.219727
1590586200,4489110000,9412.360352
1590672600,4113660000,9368.990234
1590759000,4742290000,9489.870117
1591018200,3847770000,9552.049805
1591104600,3990080000,9608.379883
1591191000,4679030000,9682.910156
1591277400,6141320000,9615.80957
1591363800,6607730000,9814.080078
1591623000,6197330000,9924.75
1591709400,5319450000,9953.75
1591795800,5170860000,10020.34961
1591882200,5300850000,9492.730469
1591968600,4388990000,9588.80957
1592227800,4476010000,9726.019531
1592314200,4669320000,9895.870117
1592400600,4279700000,9910.530273
1592487000,4335320000,9943.049805
1592573400,6093830000,9946.120117
1592832600,4506960000,10056.48047
1592919000,5755170000,10131.37012
1593005400,5589130000,9909.169922
1593091800,4779640000,10017
1593178200,7309380000,9757.219727
1593437400,4336290000,9874.150391
1593523800,4510190000,10058.76953
1593610200,4624430000,10154.62988
1593696600,4038920000,10207.62988
1594042200,4570260000,10433.65039
1594128600,4337130000,10343.88965
1594215000,4030210000,10492.5
1594301400,4013180000,10547.75
1594387800,3537510000,10617.44043
1594647000,4851880000,10390.83984
1594733400,4461770000,10488.58008
1594819800,4647070000,10550.49023
1594906200,4277760000,10473.83008
1594992600,4361480000,10503.19043
1595251800,4314630000,10767.08984
1595338200,5350750000,10680.36035
1595424600,4128960000,10706.12988
1595511000,4501540000,10461.41992
1595597400,4233390000,10363.17969
1595856600,4244570000,10536.26953
1595943000,3894660000,10402.08984
1596029400,4009640000,10542.94043
1596115800,4185810000,10587.80957
1596202200,4438730000,10745.26953
1596461400,4203890000,10902.7998
